,origin,destination,minutes
3281746,36047033000,36047007000,120.39
3281755,36047033000,36047002200,126.1
3281769,36047033000,36047008600,124.82
3281770,36047033000,36047003800,121.86
3281773,36047033000,36047003400,125.29
3281789,36047033000,36047017600,59.76
3281790,36047033000,36047016800,68.78
3281791,36047033000,36047017400,63.53
3281792,36047033000,36047015400,72.61
3281793,36047033000,36047005602,95.63
3281794,36047033000,36047016400,81.61
3281807,36047033000,36047029200,50.36
3281808,36047033000,36047028600,51.24
3281809,36047033000,36047028200,54.19
3281810,36047033000,36047028000,57.09
3281835,36047033000,36047033600,7.25
3281840,36047033000,36047046202,86.71
3281842,36047033000,36047045800,91.59
3281844,36047033000,36047046201,92.43
3281848,36047033000,36047048400,101.27
3281849,36047033000,36047046000,99.34
3281850,36047033000,36047048200,100.22
3281852,36047033000,36047049000,105.78
3281861,36047033000,36047049400,111.97
3281865,36047033000,36047017700,138.98
3281881,36047033000,36047043800,70.91
3281883,36047033000,36047044000,75.44
3281885,36047033000,36047044400,79.27
3281886,36047033000,36047044800,81.76
3281887,36047033000,36047045000,83.66
3281888,36047033000,36047045200,86.41
3281889,36047033000,36047036001,42.73
3281890,36047033000,36047036200,43.17
3281891,36047033000,36047035602,35.75
3281892,36047033000,36047035400,36.69
3281893,36047033000,36047035601,35.18
3281894,36047033000,36047036600,42.13
3281896,36047033000,36047034000,14.52
3281897,36047033000,36047035200,19.16
3281902,36047033000,36047033000,0.0
3281903,36047033000,36047034800,21.33
3281908,36047033000,36047036400,41.32
3281910,36047033000,36047037401,44.37
3281911,36047033000,36047037000,47.7
3281919,36047033000,36047039000,51.7
3281921,36047033000,36047039200,57.34
3281922,36047033000,36047039400,60.34
3281927,36047033000,36047041402,63.73
3281928,36047033000,36047041600,66.07
3281930,36047033000,36047041800,69.53
3281934,36047033000,36047042200,66.94
3281937,36047033000,36047042000,74.16
3281940,36047033000,36047044200,77.58
3281958,36047033000,36047061002,53.86
3281959,36047033000,36047036002,47.98
3281976,36047033000,36047061600,67.69
3281999,36047033000,36047066600,107.76
3282006,36047033000,36047070201,124.98
3282010,36047033000,36047069602,126.82
3282055,36047033600,36085012804,344.45
3282057,36047033600,36085011201,317.03
3282059,36047033600,36085012806,346.42
3282063,36047033600,36085018100,327.21
3282067,36047033600,36085007400,288.53
3282073,36047033600,36085001800,282.96
3282083,36047033600,36047005601,100.19
3282085,36047033600,36047005400,103.29
3282086,36047033600,36047005202,107.33
3282090,36047033600,36047005201,108.17
3282092,36047033600,36047005000,111.23
3282093,36047033600,36047004600,111.98
3282094,36047033600,36047004400,118.23
3282109,36047033600,36047013200,103.02
3282114,36047033600,36047012801,105.61
3282119,36047033600,36047012600,114.47
3282141,36047033600,36047007000,122.38
3282150,36047033600,36047002200,128.09
3282164,36047033600,36047008600,126.81
3282165,36047033600,36047003800,123.85
3282168,36047033600,36047003400,127.28
3282185,36047033600,36047017600,61.75
3282186,36047033600,36047016800,70.77
