,origin,destination,minutes
1662310,17031720700,17031750400,37.14
1662311,17031720700,17031530300,39.8
1662312,17031720700,17031540102,105.29
1662313,17031720700,17031530100,68.81
1662314,17031720700,17031750500,26.29
1662315,17031720700,17031530200,54.83
1662316,17031720700,17031750600,32.58
1662319,17031720700,17031838800,114.93
1662320,17031720700,17031491400,64.56
1662321,17031720700,17031500300,72.72
1662323,17031720700,17031750200,14.18
1662324,17031720700,17031750100,24.2
1662325,17031720700,17031491100,32.37
1662327,17031720700,17031720700,0.0
1662328,17031720700,17031491000,42.73
1662329,17031720700,17031730700,26.59
1662331,17031720700,17031500200,67.48
1662334,17031720700,17031490700,46.58
1662335,17031720700,17031730500,39.38
1662336,17031720700,17031490600,52.49
1662337,17031720700,17031500100,80.11
1662338,17031720700,17031490500,68.38
1662339,17031720700,17031510200,118.54
1662340,17031720700,17031510300,116.77
1662341,17031720700,17031730100,50.37
1662342,17031720700,17031490400,76.4
1662343,17031720700,17031440900,85.99
1662344,17031720700,17031470100,96.73
1662348,17031720700,17031440800,92.83
1662351,17031720700,17031480500,131.51
1662353,17031720700,17031480100,126.23
1662354,17031720700,17031440202,97.27
1662356,17031720700,17031440300,87.31
1662358,17031720700,17031834300,115.75
1662379,17031720700,17031530503,68.35
1662380,17031720700,17031740400,62.78
1662381,17031720700,17031740300,61.92
1662385,17031720700,17031460500,138.34
1662387,17031720700,17031691500,115.05
1662388,17031720700,17031834200,134.4
1662390,17031720700,17031691000,105.24
1662507,17031720400,17031700100,73.55
1662512,17031720400,17031710200,94.36
1662513,17031720400,17031700200,88.77
1662514,17031720400,17031650500,118.28
1662516,17031720400,17031640700,146.67
1662517,17031720400,17031650301,123.44
1662519,17031720400,17031681300,108.49
1662520,17031720400,17031691100,109.78
1662521,17031720400,17031672000,87.56
1662524,17031720400,17031661000,78.63
1662525,17031720400,17031660900,87.97
1662528,17031720400,17031660800,101.68
1662529,17031720400,17031671500,96.56
1662532,17031720400,17031681200,120.41
1662534,17031720400,17031660700,93.75
1662541,17031720400,17031671300,102.98
1662542,17031720400,17031834900,111.61
1662544,17031720400,17031680600,131.38
1662545,17031720400,17031834800,135.3
1662549,17031720400,17031680900,131.19
1662550,17031720400,17031842500,143.45
1662555,17031720400,17031660302,116.7
1662557,17031720400,17031670500,119.89
1662564,17031720400,17031720600,20.68
1662566,17031720400,17031720200,28.87
1662567,17031720400,17031730400,45.43
1662573,17031720400,17031720500,11.54
1662576,17031720400,17031720400,0.0
1662586,17031720400,17031700402,61.99
1662587,17031720400,17031700502,44.18
1662588,17031720400,17031720100,35.0
1662590,17031720400,17031730201,52.93
1662592,17031720400,17031711300,51.66
1662594,17031720400,17031711500,75.61
1662595,17031720400,17031711200,60.95
1662596,17031720400,17031711100,67.29
1662597,17031720400,17031711000,75.78
1662598,17031720400,17031842400,94.33
1662600,17031720400,17031700302,77.82
1662604,17031720400,17031710900,82.22
1662605,17031720400,17031710500,70.1
1662607,17031720400,17031710700,77.64
1662608,17031720400,17031700401,75.17
